"id","name","rare","price","sell"
1,"美來のハンカチ","C",,
2,"美來のカバン","C",,
3,"アカリのカバン","C",,
4,"NTDカード3F","C",,
5,"NTDカードEL","C",,
6,"キューブ粒子・A","C",,
7,"キューブ粒子・B","C",,
8,"キューブ粒子・C","C",,
9,"キューブ粒子・D","C",,
10,"キューブ粒子・E","C",,
11,"キューブ粒子・F","C",,
12,"闘技場入会証","C",,
13,"闘技大会チケット","UC",,
14,"闘技王の証","R",,
15,"英雄戦チケット","SR",5000,
16,"MHIカードA","C",,
17,"MHIカードB","C",,
18,"MHIカードC","C",,
19,"MHIカード特殊","R",,
20,"シロちゃん","R",,
21,"MHI製高級替え刃","UC",,
22,"ボアキット","UC",,
23,"怪しい燃料添加剤","UC",,
24,"三鷹R強化オイル","UC",1000,
25,"怪しい過給器装着","UC",,
26,"MHIノートPC","UC",,
27,"MHIデータCDI","UC",,
28,"MHIデータCDII","UC",,
29,"MHIデータCDIII","R",,
30,"改良型生態チップ","R",,
31,"チェーンソー","UC",,
32,"チェーンソー・改","R",,
33,"ナノマシン","R",,
34,"学園倉庫の鍵","UC",100,
35,"要塞の鍵","UC",,
36,"識別カード","UC",,
37,"会員証","UC",,
38,"お茶セット","C",500,
39,"ヘタレ認定証","R",,
40,"夢叶玉A","R",,
41,"夢叶玉B","R",,
42,"夢叶玉C","R",,
43,"夢叶玉D","R",,
44,"夢叶玉E","R",,
45,"夢叶玉F","R",,
46,"夢叶玉G","R",,
47,"お宝発見眼鏡","UC",,
48,"Ｒ宝発見眼鏡","R",,
49,"ＳＲ宝発見眼鏡","SR",,
50,"つるぎ","C",,
51,"伝説のツルギ","SR",,
52,"松明","C",5000,
53,"船","UC",,
54,"綺麗なペンダント","R",,
55,"レンズ","C",,
56,"幻のレンズ","R",,
57,"伝説のナン","UC",10000,
58,"七色の鉱石","R",,
59,"天使の翼","R",,
60,"究極のレシピ","SR",,
61,"至高のレシピ","SR",,
62,"時代劇BOX","R",,
