"id","name","kind","rare","support","cost","slot","health","attack","skill1","skill2"
1,"風波 まどか","無機/人間","UC",2,3,1,9,7,"鉄壁の身代わり",
2,"風波 まどか","無機/人間","R",2,4,1,12,11,"フルスナイパー","フルメタルアーム"
3,"風波 まどか","無機/人間","UC",2,5,2,13,15,"剛腕連打","不屈の精神"
4,"風波 まどか","無機/人間","EU",2,6,2,16,18,"徹底的に押収","瞬腕連打"
5,"丹生 真朱","無機/人間","UC",2,4,1,12,11,"聖なる癒し",
6,"丹生 真朱","無機/人間","R",2,5,2,16,8,"魔改造",
7,"天使ドロエル","無機/天使","UC",1,2,1,8,5,"退避戦術","天使の護り手"
8,"磁粒門を呼ぶモノ","無機","R",2,5,1,15,12,"魔改造","グランベルゼ"
9,"磁粒海のヌシ","無機/怪物","R",2,5,1,16,11,"超再生","連鎖粉砕"
10,"罪の収集シャ","無機/怪物","SR",2,5,1,17,7,"荒れ狂う鼓動","連鎖粉砕"
11,"コツミヤノミコト","無機/人間","EU",2,5,1,8,7,"スナイパーアイ","フィアシャルフ"
12,"悪魔のマホウジン","無機/怪物","EU",2,6,1,19,13,"超再生","オルトリクス"
13,"美來のハンカチ","無機","C",0,1,0,1,0,"簡易回復",
14,"絆創膏セット","無機","C",0,1,0,2,0,"簡易治療",
15,"純白の封筒","無機","C",0,1,0,0,1,"真心交換",
16,"黒烏の羽根","無機","C",0,1,0,1,0,"機敏な回避術","短時間常駐"
17,"天使の羽根","無機","C",0,1,0,2,0,"簡易回復","天使の護り手"
18,"護身用具","無機","C",0,1,0,4,0,"フロントガード",
19,"大型生物の抜け殻","無機","C",0,1,0,4,0,"鉄壁の身代わり",
20,"大型扇風機","無機","C",0,1,0,1,0,"追い風",
21,"秀哉の鞄","無機","C",0,1,0,3,1,,
22,"海斗の鞄","無機","C",0,1,0,2,2,,
23,"鉄の棒","無機","C",0,1,0,1,2,"人的強化",
24,"木製バット","無機","C",0,1,0,1,2,,
25,"スタンガン","無機","C",0,1,0,1,5,"充填時間",
26,"連撃スタンガン","無機","R",0,1,0,3,5,"充填時間","連鎖粉砕"
27,"強化スタンガン","無機","UC",0,2,0,8,8,"充電時間",
28,"狩猟用ナイフ","無機","C",0,1,0,2,3,"人的強化","速攻迎撃"
