"id","name","kind","rare","support","cost","slot","health","attack","skill1","skill2"
1,"シャネオルカ","人間/怪物","C",1,1,1,4,4,"浄化の光",
2,"シャネオルカ","人間/怪物","C",1,2,1,7,7,"消沈の呪縛",
3,"シャネオルカ","人間/怪物","UC",2,4,1,11,12,"癒しの息吹","消沈の呪縛"
4,"シャネオルカ","人間/怪物","R",2,5,2,14,16,"怪物暗示能力",
5,"シャネオルカ","人間/怪物","EU",2,6,2,19,10,"大いなる癒し","心繋がり"
6,"磁粒化したMSC兵","人間/怪物","C",1,2,1,8,8,,
7,"磁粒化した兵士","人間/怪物","C",1,2,1,8,7,,
8,"獣耳受付嬢","人間/怪物","UC",2,5,1,16,11,"電光石火","怪物暗示能力"
9,"水棲進化した小邪鬼","怪物/悪魔","C",1,2,1,5,7,"退避戦術",
10,"オストディアス","怪物/悪魔","C",1,2,1,5,7,"混沌の支配",
11,"歪融悪魔","怪物/悪魔","C",2,3,1,8,9,"混沌の支配",
12,"ナトルディアス","怪物/悪魔","C",2,3,1,10,9,"上位悪魔の途",
13,"死霊歪魔デールマル","怪物/悪魔","SR",2,5,1,12,9,"霊族耐性","ネアシュテール"
14,"湧き出るスライム","怪物","C",1,1,0,2,1,"増援","無尽蔵"
15,"プテテット","怪物","C",1,1,0,2,2,"無尽蔵",
16,"赤プテテット","怪物","C",1,1,0,4,2,"無尽蔵",
17,"青プテテット","怪物","C",1,1,1,3,3,"消化液","無尽蔵"
18,"金プテテット","怪物","C",1,1,1,4,4,"バトンタッチ",
19,"レイヤテット","怪物","C",1,1,1,6,3,"変身解除",
20,"磁粒鼠","怪物","C",1,1,0,1,3,"奇襲攻撃",
21,"磁粒蚊","怪物","UC",1,1,0,3,4,"進化する力",
22,"磁粒鉄蟲","怪物","C",1,1,0,5,4,"付与者への猛攻",
23,"磁粒烏","怪物","C",1,1,1,2,2,"コールブレイク",
24,"闇の大烏","怪物","C",1,1,1,4,3,"コールブレイク",
25,"歪秤蝶","怪物","UC",1,1,0,4,4,"追い風",
26,"洞光獣","怪物","C",1,1,0,3,4,"腐食の呪術",
27,"死魔蟲","怪物","C",1,1,0,3,5,"チャージ",
28,"歪鬼","怪物","C",1,1,0,1,4,"奇襲攻撃",
