"id","name","kind","rare","support","cost","slot","health","attack","skill1","skill2"
1,"大天使メヒーシャ","天使","C",1,1,1,4,4,,
2,"大天使メヒーシャ","天使","UC",1,1,1,4,5,"光霞","二段突き"
3,"大天使メヒーシャ","天使","C",1,1,1,4,3,"流星の光槍","二段突き"
4,"大天使メヒーシャ","天使","C",1,2,1,7,7,"天使の階段","二段突き"
5,"大天使メヒーシャ","天使","SR",2,3,1,5,10,"天使の光陣","二段突き"
6,"大天使メヒーシャ","天使","R",2,3,1,9,9,"加速襲撃","二段突き"
7,"権天使メヒーシャ","天使/英雄","R",2,4,1,12,12,"贖罪の光霞","聖なる加護"
8,"権天使メヒーシャ","天使/英雄","SR",2,5,2,14,16,"大いなる聖門","二回移動"
9,"権天使メヒーシャ","天使/英雄","EU",2,6,2,18,18,"流星の光槍","クイックタイム"
10,"権天使メヒーシャ","天使","SR",1,2,0,2,0,"精気譲渡","甘い誘惑"
11,"能天使ルファディエル","天使","R",2,3,1,10,9,"光燐衝撃",
12,"能天使ルファディエル","天使","SR",2,4,1,11,11,"光輝の神槍","二回行動"
13,"能天使ルファディエル","天使","R",2,5,2,16,15,"槌の光霞",
14,"能天使ラグタス","天使","R",2,4,1,11,13,"グランテリトリー","防護の光盾"
15,"能天使ラグタス","天使","R",2,5,2,13,14,"荒ぶる戦意","防御の光盾"
16,"主天使ノルファザ","天使/英雄","R",2,4,1,12,12,"突光剣",
17,"主天使ノルファザ","天使/英雄","R",2,5,2,13,14,"迎撃の策略",
18,"智天使ガノエル","天使/英雄","EU",2,5,2,16,13,"他種族嫌悪","贖罪の光霞"
19,"シャドウ","天使/悪魔","EU",2,5,2,13,16,"他種族嫌悪","光の拘束結界"
20,"智天使ガノエル","天使/英雄","EU",2,6,2,20,6,"城壁展開","フェールの幻覚術"
21,"使霊","天使","C",1,1,0,3,4,"戒めの枷",
22,"雷使霊","天使","UC",1,1,0,4,4,"光輝の儀式",
23,"槍使霊","天使","C",1,1,0,4,3,"多種族嫌悪",
24,"傀儡使霊","天使","C",1,1,0,5,4,"二回移動",
25,"護衛天使","天使","C",1,1,1,5,4,"電光石火",
26,"天使ハザム","天使","R",1,1,1,2,2,"二回移動","加速襲撃"
27,"天使リェシェ","天使","R",1,1,1,3,4,"光霞",
28,"天使メカセエル","天使","C",1,1,1,5,2,"猛毒の接触",
29,"天使ティレジーナ","天使","UC",1,1,1,4,5,"勇者の付術",
30,"霊騎ファラン","天使","C",1,2,0,7,7,"後退指示",
31,"天使ジヴェル","天使","UC",1,2,1,7,6,"流星の光槍",
32,"天使ティレト","天使","C",1,2,1,7,7,"戒めの枷",
33,"天使ハンプラエル","天使","UC",1,2,1,8,4,"聖なる癒し","癒しの息吹"
34,"天使ドロエル","無機/天使","UC",1,2,1,8,5,"退避戦術","天使の護り手"
35,"天使マウハザ","天使","C",2,3,1,10,8,"同調の姿勢",
36,"天使シヒサエル","天使","UC",2,3,1,9,9,"光の拘束結界",
37,"天使アプサエル","天使","C",2,3,1,9,9,"ブリンクシフト",
38,"天使ヴァフマー","天使","UC",2,3,1,7,8,"他種族嫌悪",
39,"天使ジオルール","天使","R",2,3,1,7,7,"アオスシュメルツ","天使の連帯意識"
40,"天使リセト","天使","UC",2,3,1,10,3,"清浄な煌き","消沈の呪縛"
41,"天使ナルザエル","天使","UC",2,3,1,10,10,,
42,"大天使エルミル","天使","R",2,3,1,8,10,"回生の儀",
43,"権天使ハファタス","天使","UC",2,3,1,9,9,"光輝の儀式",
44,"覚醒の同調者","天使","R",2,4,1,9,9,"天使の連帯意識",
45,"傀儡天使ログファエル","天使","C",2,4,1,12,12,"光の束縛術",
46,"力天使ワルフメイア","天使","R",2,4,1,13,10,"天使の光陣",
47,"天使パハーリア","天使","SR",2,5,1,14,14,"指揮官援護",
48,"権天使サウノエル","天使","R",2,5,1,16,13,"二回移動","槌の光霞"
49,"霊騎ラメダ＝マハル","天使","UC",2,5,0,14,15,"光の拘束結界",
50,"大天使ラメダ＝アクト","天使","R",2,5,1,12,15,"貫通",
51,"堕天使リエシェ","天使/悪魔","UC",1,1,1,5,4,"上級悪魔の途",
52,"堕天使メウーラ","天使/悪魔","UC",1,1,1,4,4,"混沌の秘策",
53,"堕天使メルコル","天使/悪魔","UC",2,3,1,9,9,"悪魔の悪巧み",
54,"堕天使バステラ","天使/悪魔","R",2,4,1,11,12,"瞬散撃","遠距離攻撃"
55,"磁粒祝福を受けしモノ","怪物/天使","R",2,5,1,15,12,"貫通","グランテリトリー"
56,"歪み秩序のシュテンシ","怪物/天使","SR",2,6,1,17,16,"串刺し","トラキアの消沈"
57,"エウシュリーちゃん","天使/英雄","EU",2,5,2,16,16,"ブロッサ・ラヴェ","英雄の結託"
58,"エウシュリーちゃん","天使/英雄","EU",3,7,3,22,22,"デスファ・フュメ","英雄の結託"
59,"Ｂエウシュリーちゃん","天使/英雄","EU",2,5,2,15,13,"ブイヨワール","英雄の結託"
60,"Ｂエウシュリーちゃん","天使/英雄","EU",3,7,3,23,18,"ビーアドウーシュ","英雄の結託"
61,"エウクレイアさん","天使/英雄","EU",2,5,2,10,17,"百花繚乱","英雄の結託"
62,"エウクレイアさん","天使/英雄","EU",3,7,3,19,25,"百花戦塵","英雄の結託"
63,"天使乳メヒーシャ","天使","EU",2,3,0,3,1,"天使乳",
64,"能天使ラグタス","天使","R",2,4,1,13,12,"防護の光盾","天使の結界"
65,"副官天使ヴァフマー","天使","R",2,3,1,9,7,"他種族嫌悪","天使の結界"
66,"飛天魔ファーミシルス","天使/悪魔","SR",2,5,3,12,9,"連接剣双伸張","将軍の指揮"
67,"大魔王めひーしゃ","天使/悪魔","SR",2,6,2,16,12,"スナイパーアイ","シュロムベルゼ"
68,"村娘めひーしゃ","人間/天使","C",1,1,0,1,0,"華やかな応援",
69,"天使アラケル","天使","UC",1,2,0,7,5,"勇者の付術","天使の護り手"
70,"大天使ラデニエル","天使","R",2,3,2,8,8,"他種族嫌悪","天使の連帯意識"
71,"天使ランディルア","天使","UC",2,3,1,7,9,"付与者への猛攻","誘惑の微笑み"
72,"天魔カキア","天使/悪魔","C",2,3,0,9,6,"後退指示","戦略的帰還"
73,"大天使ラヴィナス","天使","R",2,4,1,9,12,"戒めの枷","贖罪の光霞"
74,"大天使リドゥリア","天使","UC",2,4,2,10,11,"フィアルセの束縛","光の拘束結界"
75,"大天使メロディアーナ","天使","R",2,4,2,10,10,"貫通","彗星の光槍"
76,"力天使エリザスレイン","天使","EU",2,5,2,13,11,"天使の聖歌","贖罪の光霞"
