"id","name","kind","rare","support","cost","slot","health","attack","skill1","skill2"
1,"源 鴉烏","人間/悪魔","C",1,1,1,4,4,"黒の闇界",
2,"源 鴉烏","人間/悪魔","UC",1,1,1,4,4,"狂気の槍",
3,"源 鴉烏","人間/悪魔","R",1,2,1,6,7,"再生術",
4,"源 鴉烏","人間/悪魔","R",2,3,1,6,10,"瞬間再生術",
5,"源 鴉鳥","人間/悪魔","UC",2,4,1,12,13,"エクスチェンジ",
6,"源 鴉鳥","人間/悪魔","SR",2,5,2,15,13,"ダークマター",
7,"源 鴉鳥","人間/悪魔","EU",2,6,2,10,5,"後衛迎撃","開放されし能力"
8,"シャドウ","天使/悪魔","EU",2,5,2,13,16,"他種族嫌悪","光の拘束結界"
9,"堕天使リエシェ","天使/悪魔","UC",1,1,1,5,4,"上位悪魔の途",
10,"堕天使メウーラ","天使/悪魔","UC",1,1,1,4,4,"混沌の秘策",
11,"堕天使メルコル","天使/悪魔","UC",2,3,1,9,9,"悪魔の悪巧み",
12,"堕天使バステラ","天使/悪魔","R",2,4,1,11,12,"瞬散撃","遠距離攻撃"
13,"魔人ギレゼル","悪魔","C",1,1,1,4,3,,
14,"魔人ギレゼル","悪魔","R",1,1,1,3,4,"組み換え戦術","二回移動"
15,"魔人ギレゼル","悪魔","UC",1,1,1,2,4,"退避戦術","二回移動"
16,"魔人ギレゼル","悪魔","UC",1,2,1,7,8,"暴虐の布陣","二回移動"
17,"魔人ギレゼル","悪魔","R",2,3,1,9,10,"狂気乱舞","二回移動"
18,"魔人ギレゼル","悪魔","UC",2,3,1,7,9,"逆襲の一手","二回移動"
19,"魔人ギレゼル","悪魔","R",2,4,1,11,11,"戦士の付術","狂気乱舞"
20,"魔人ギレゼル","悪魔","UC",2,5,2,14,16,"覚醒の付術","狂気乱舞"
21,"魔人ギレゼル","悪魔/魔神","EU",2,6,2,18,19,"ネアシュテール","異空間切断"
22,"歪魔エルンスト","悪魔","R",2,4,1,11,12,"暗黒障壁","クラインベルゼ"
23,"歪魔エルンスト","悪魔","SR",2,5,2,13,13,"闇界獄滅炎","グランベルゼ"
24,"中級悪魔ヴァザ","悪魔","UC",2,3,1,10,8,"身代わり命令",
25,"中級悪魔ヴァザ","悪魔","SR",2,4,1,12,12,"危険予知","戦略的帰還"
26,"中級悪魔ヴァザ","悪魔","R",2,5,2,13,13,"絶対防御の構え","戦略的帰還"
27,"上級悪魔キノールラザ","悪魔","SR",2,3,1,8,9,"勇者の付術","闇の闘士"
28,"上級悪魔キノールラザ","悪魔","UC",2,4,1,11,11,"格下への指図","みなぎる覇気"
29,"上級悪魔キノールラザ","悪魔","R",2,5,2,15,14,"悪魔の上下関係","無限の闘士"
30,"睡魔女王シェヒラ","悪魔","R",2,3,1,8,9,"精気の接吻術",
31,"睡魔女王シェヒラ","悪魔","R",2,4,1,10,12,"幽艶の接吻術","上位者の余裕"
32,"睡魔女王シェヒラ","悪魔","R",2,5,2,12,13,"魂の接吻術","暗黒の鼓舞術"
33,"睡魔リターナ","悪魔","C",1,1,1,4,4,"精気吸収",
34,"睡魔リターナ","悪魔","C",1,2,1,6,6,"誘惑の微笑み",
35,"睡魔リターナ","悪魔","UC",2,3,1,8,9,"精気の接吻術",
36,"クェルインプ","悪魔","UC",1,1,0,3,3,"強酸の暗礁弾",
37,"スケルツディアス","悪魔","C",1,1,1,4,4,"鉄壁の身代わり","無尽蔵"
38,"睡魔スゥーティ","悪魔","UC",1,1,1,4,4,"誘惑の微笑み",
39,"水棲進化した小邪鬼","怪物/悪魔","C",1,2,1,5,7,"退避戦術",
40,"オストディアス","怪物/悪魔","C",1,2,0,5,7,"混沌の支配",
41,"レッサーデーモン","悪魔","C",1,2,1,7,7,"上位悪魔の途",
42,"地の下級悪魔","悪魔","UC",1,2,1,8,6,"絶対防御の構え",
43,"水の下級悪魔","悪魔","R",1,2,1,7,6,"消費魔力回復",
44,"火の下級悪魔","悪魔","C",1,2,1,5,8,"先陣を切る",
45,"風の下級悪魔","悪魔","C",1,2,1,6,6,"瞬間回避",
46,"下級悪魔ワムナフ","悪魔","UC",1,2,1,5,7,"混沌の支配",
47,"吸魔","悪魔","C",1,2,0,7,6,"精気吸収",
48,"睡魔メルコラ","悪魔","UC",1,2,0,6,7,"精気の接吻術",
49,"愛欲の誘惑","悪魔","C",1,2,0,8,7,"淫魔の抱擁",
50,"歪融悪魔","怪物/悪魔","C",2,3,1,8,9,"混沌の支配",
51,"ナトルディアス","怪物/悪魔","C",2,3,1,10,9,"上位悪魔の途",
52,"悪魔キルラウグ","悪魔","UC",2,3,1,9,8,"アシッドタッチ",
53,"炎獄の殺人鬼","悪魔","UC",2,3,1,10,10,,
54,"天肉の殺人鬼","悪魔","R",2,3,1,10,8,"クラインベルゼ",
55,"死醒の殺人鬼","悪魔","C",2,3,1,8,8,"一撃への助走",
56,"生命の殺人鬼","悪魔","UC",2,3,1,8,7,"暗黒の鼓舞術",
57,"荒ぶる吸魔","悪魔","C",2,3,0,8,7,"精気吸収",
58,"淫魔マカト","悪魔","R",2,3,1,10,8,"淫魔の抱擁","悪魔の上下関係"
59,"サクラミア","悪魔","UC",2,3,1,9,6,"猛毒の接触","恐怖の接触"
60,"黒騎士ナエリ","悪魔","R",2,3,1,7,8,"遠距離攻撃","長距離射撃"
61,"グレーターデーモン","悪魔","R",2,4,1,9,9,"悪魔の結束力",
62,"地の上級悪魔","悪魔","C",2,4,1,12,10,"フロントガード",
63,"水の上級悪魔","悪魔","R",2,4,1,11,8,"フェールの幻覚術",
64,"火の上級悪魔","悪魔","UC",2,4,1,8,12,"混沌の秘策",
65,"風の上級悪魔","悪魔","R",2,4,1,10,9,"遠距離攻撃",
66,"上級悪魔メウリエテ","悪魔","UC",2,4,1,12,12,"逆進の超越",
67,"吸魔を愛する睡魔","悪魔","UC",2,4,1,9,12,"淫魔の抱擁","危険予知"
68,"上級悪魔ホゼナ","悪魔","C",2,5,1,10,15,"ダークマター",
69,"栄傑の黒騎士","人間/悪魔","C",2,5,1,14,14,"孤高勇士",
70,"コゴナウア","悪魔","UC",2,5,1,14,14,"逆進の超越",
71,"炎獄の主","悪魔","UC",2,5,1,12,13,"ファストブレイク","悪魔の上下関係"
72,"天肉の挑戦者","悪魔","UC",2,5,1,13,11,"ノックバック","悪魔の上下関係"
73,"死醒の主","悪魔","UC",2,5,1,15,10,"フロントガード","悪魔の上下関係"
74,"告死悪魔ベルサール","悪魔","UC",2,5,1,14,12,"フィアルセの束縛","悪魔の上下関係"
75,"死霊歪魔デールマル","怪物/悪魔","SR",2,5,1,12,9,"霊族耐性","ネアシュテール"
76,"死歌で惑わすモノ","悪魔","R",2,5,1,16,8,"闇の小夜曲","永久の鎮魂歌"
77,"歪秤王女ルファティ","悪魔","SR",2,5,1,15,7,"グロースピラ","王女の指揮"
78,"魂の大狩人","怪物/悪魔","R",2,5,1,12,9,"霊族耐性","永久の鎮魂歌"
79,"歪みのタクハイビン","怪物/悪魔","SR",2,5,1,17,13,"転移移動","煌めく暗黒"
80,"奈落のゲートキーパー","悪魔/魔神","SR",2,6,1,20,10,"グロースピラ","カリスマ支配"
81,"死神ラグスムエナ","人間/悪魔","R",2,4,2,14,12,"断命の大鎌","闇の者の連携"
82,"無邪気なリリィ","悪魔","R",1,1,1,5,5,"再登場","姫狩りメンバーズ"
83,"ツンデレリリィ","悪魔","SR",2,3,2,10,10,"イルザの束縛術","姫狩りメンバーズ"
84,"一人前リリィ","悪魔","EU",2,5,3,15,15,"ティルワンの闇界","姫狩りメンバーズ"
85,"暴君ブリジット","悪魔","R",2,4,2,11,14,"高速旋風脚","姫狩りメンバーズ"
86,"苦労人オクタヴィア","悪魔","R",2,4,2,12,13,"ケルト＝ルーン","姫狩りメンバーズ"
87,"魔王軍団長オーク","悪魔","R",1,2,1,7,7,"鉄壁の身代わり","魔王軍の誇り"
88,"魔王軍団オーク","悪魔","C",1,1,1,5,3,"無尽蔵",
89,"ジャイ子","人間/悪魔","UC",1,2,0,6,0,"一撃への助走","ヘビーブレイク"
90,"歪魔エルンスト","悪魔","R",2,4,1,10,13,"恐怖の接触","暗黒の鼓舞術"
91,"融合進化した真邪鬼","怪物/悪魔","R",2,3,1,7,9,"アシッドタッチ","消沈の呪縛"
92,"旅剣士カーリアン","悪魔","R",2,5,3,10,8,"連鎖粉砕","白露乱舞"
93,"飛天魔ファーミシルス","天使/悪魔","SR",2,5,3,12,9,"連接剣双伸張","将軍の指揮"
94,"歪魔ありさ","人間/悪魔","SR",2,4,1,8,10,"うそ泣き","グラビティゾーン"
95,"大魔王めひーしゃ","天使/悪魔","SR",2,6,2,16,12,"スナイパーアイ","シュロムベルゼ"
96,"睡魔リターナ","悪魔","R",2,5,2,11,10,"幽艶の接吻術","悪魔の結束力"
97,"天魔カキア","天使/悪魔","C",2,3,0,9,6,"後退指示","戦略的撤退"
98,"淫魔ノワル","悪魔","C",1,2,1,6,6,"精気の接吻術",
99,"睡魔ルキス","悪魔","C",1,2,0,6,5,"他種族嫌悪",
100,"悪魔キュアネス","人間/悪魔","R",2,3,0,8,5,"暗闇の雲",
101,"神速悪魔ウィンディア","悪魔","UC",2,3,1,5,10,"瞬間回避",
102,"上級悪魔キルラ・メリエ","怪物/悪魔","UC",2,4,1,12,11,"ポイズンタッチ",
103,"睡魔ラヴァツィーネ","悪魔","R",2,5,2,13,12,"魂の接吻術","闇の闘士"
104,"上級悪魔メウリオーテ","悪魔","R",2,5,1,11,13,"串刺し","逆進の超越"
105,"盛装悪魔ニルーニャ","悪魔/魔神","EU",2,6,0,12,8,"リクリュージョン","オペラシオーネ"
106,"睡魔シャルティ","悪魔","UC",2,3,2,7,7,"精気吸収","淫魔の接吻"
