"id","name","kind","rare","support","cost","slot","health","attack","skill1","skill2"
1,"魔人ギレゼル","悪魔/魔神","EU",2,6,2,18,19,"ネアシュテール","異空間切断"
2,"魔王セルベルグ","魔神","SR",2,4,1,12,13,"背水の布陣",
3,"魔王セルベルグ","魔神","EU",2,5,1,15,14,"闇界の攻撃布陣",
4,"魔神ハァゲンティ","魔神","EU",2,6,2,15,12,"串刺し","神々の聖域"
5,"魔神ハァゲンティ","魔神","EU",2,6,2,18,16,"超再生","レギオンブレイク"
6,"統合を統べるモノ","魔神","R",2,5,1,16,10,"スナイパーアイ","闇の闘士"
7,"魔人ゼヴァリネ","魔神","SR",2,6,1,18,12,"トラキアの消沈","カリスマ支配"
8,"磁粒を束ねるモノ","魔神","SR",2,6,1,19,12,"スナイパーアイ","荒れ狂う鼓動"
9,"死魔を創造するモノ","魔神","SR",2,6,1,20,15,"拡散攻撃","遠距離攻撃"
10,"奈落のゲートキーパー","魔神/悪魔","SR",2,6,1,20,10,"グロースピラ","カリスマ支配"
11,"魔神ハイシェラ","魔神","SR",2,5,2,15,15,"地龍猛襲脚","永遠の戦友"
12,"魔神ハイシェラ","魔神","EU",2,6,3,19,14,"ラクスハイシェラ","飛燕剣連舞"
13,"魔神ナベリウス","魔神","EU",2,6,3,12,20,"ティルワンの死礫","仲良し援護"
14,"魔神アムドシアス","魔神","EU",2,6,3,16,17,"ハドラの円舞曲","魔神への対抗心"
15,"野心家まおーさま","人間/魔神","SR",2,5,2,12,13,"強制帰還","暗黒の鼓舞術"
16,"野心家まおーさま","人間/魔神","EU",2,6,3,16,18,"邪神招聘","姫狩りメンバーズ"
17,"魔人リウイ","魔神","EU",3,7,3,19,23,"フェヒテンイング","帝国の軍配"
18,"魔神ディアーネ","魔神","R",2,6,1,13,19,"貫通","大暴虐の布陣"
19,"暴君リフィア","人間/魔神","SR",2,4,2,7,7,"血縁の絆","贖罪の聖炎"
20,"魔王かいと","人間/魔神","SR",2,5,1,12,10,"荒ぶる戦意","結束の力"
21,"盛装悪魔ニルーニャ","悪魔/魔神","EU",2,6,0,12,8,"リクリュージョン","オペラシオーネ"
22,"魔人セルヴァ","魔神","EU",3,7,1,22,18,"超再生","荒れ狂う鼓動"
23,"宵闇を翔ける端女","人間/魔神","EU",3,7,0,9,24,"不屈の精神","機敏な回避術"
